city_name,record_date,AVERAGE_CONFIDENCE,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_RAIN
Braga,2018-10-02 01:00:00,0.56,None,40.6,0.0,72.3,16.0,1020.0,59.0,2.0,0.0,0.0
Braga,2018-10-02 00:00:00,0.67,None,40.4,0.0,66.3,17.0,1020.0,55.0,2.0,0.0,0.0
Braga,2018-10-01 23:00:00,0.76,None,40.4,0.0,66.3,19.0,1020.0,48.0,3.0,0.0,0.0
Braga,2018-10-01 22:00:00,0.81,None,39.1,0.0,65.5,17.0,1020.0,63.0,2.0,0.0,0.0
Braga,2018-10-01 20:00:00,0.89,Low,39.3,0.4,66.9,17.0,1019.0,67.0,2.0,0.0,0.0
Braga,2018-10-01 19:00:00,0.91,High,40.5,29.5,69.2,21.0,1019.0,52.0,2.0,0.0,0.0
Braga,2018-10-01 18:00:00,0.93,Very_High,40.4,152.0,66.3,23.0,1019.0,46.0,5.0,0.0,0.0
Braga,2018-10-01 17:00:00,0.93,Very_High,40.1,124.9,67.2,24.0,1019.0,41.0,4.0,0.0,0.0
Braga,2018-10-01 16:00:00,0.93,Very_High,40.4,38.9,66.3,25.0,1019.0,44.0,3.0,0.0,0.0
Braga,2018-10-01 15:00:00,0.92,High,39.1,11.8,68.4,25.0,1019.0,41.0,4.0,0.0,0.0
Braga,2018-10-01 13:00:00,0.88,High,40.4,20.4,66.3,26.0,1020.0,29.0,3.0,0.0,0.0
Braga,2018-10-01 12:00:00,0.92,High,39.1,33.6,65.5,25.0,1021.0,31.0,4.0,0.0,0.0
Braga,2018-10-01 11:00:00,0.92,Medium,42.0,13.8,63.8,24.0,1021.0,36.0,5.0,0.0,0.0
Braga,2018-10-01 10:00:00,0.92,Medium,39.1,7.6,65.5,22.0,1021.0,43.0,4.0,0.0,0.0
Braga,2018-10-01 09:00:00,0.89,High,39.1,12.6,65.5,15.0,1021.0,100.0,1.0,0.0,0.0
Braga,2018-10-01 08:00:00,0.94,Very_High,40.5,100.4,69.2,11.0,1020.0,100.0,1.0,20.0,0.0
Braga,2018-10-01 06:00:00,0.68,Low,40.5,0.6,69.2,12.0,1019.0,100.0,1.0,75.0,0.0
Braga,2018-10-01 05:00:00,0.74,Low,42.2,2.1,51.9,13.0,1019.0,100.0,0.0,90.0,0.0
Braga,2018-10-01 04:00:00,0.5,None,40.4,0.0,66.3,14.0,1019.0,100.0,1.0,90.0,0.0
Braga,2018-10-01 03:00:00,0.6,None,45.2,0.0,58.0,14.0,1019.0,100.0,0.0,90.0,0.0
Braga,2018-10-01 02:00:00,0.6,None,46.2,0.0,65.2,15.0,1019.0,100.0,0.0,90.0,0.0
Braga,2018-10-01 01:00:00,0.56,None,39.8,0.0,71.5,15.0,1020.0,100.0,0.0,90.0,0.0
Braga,2018-10-01 00:00:00,0.68,None,42.1,0.0,62.3,15.0,1020.0,100.0,0.0,90.0,0.0
Braga,2018-09-30 23:00:00,0.64,None,40.7,0.0,71.1,15.0,1020.0,100.0,0.0,90.0,0.0
Braga,2018-09-30 22:00:00,0.85,None,40.3,0.0,59.6,15.0,1020.0,100.0,0.0,90.0,0.0
Braga,2018-09-30 21:00:00,0.78,None,40.4,0.0,66.3,15.0,1019.0,100.0,0.0,90.0,0.0
Braga,2018-09-30 19:00:00,0.89,Medium,38.7,11.4,66.4,15.0,1019.0,100.0,2.0,90.0,0.0
Braga,2018-09-30 18:00:00,0.89,High,40.7,12.0,67.8,15.0,1018.0,100.0,2.0,75.0,0.0
Braga,2018-09-30 17:00:00,0.92,Medium,40.5,4.0,69.2,16.0,1018.0,93.0,3.0,75.0,0.0
Braga,2018-09-30 16:00:00,0.9,High,37.6,15.9,64.5,16.0,1018.0,93.0,3.0,75.0,0.0
Braga,2018-09-30 15:00:00,0.89,Medium,37.1,3.1,65.4,17.0,1018.0,88.0,4.0,75.0,0.0
Braga,2018-09-30 14:00:00,0.8,Low,37.0,3.2,68.8,18.0,1018.0,82.0,3.0,20.0,0.0
Braga,2018-09-30 13:00:00,0.89,Medium,40.4,4.8,66.3,16.0,1019.0,93.0,2.0,75.0,0.0
Braga,2018-09-30 11:00:00,0.9,Low,40.4,0.8,66.3,17.0,1019.0,93.0,2.0,40.0,0.0
Braga,2018-09-30 10:00:00,0.86,Low,40.4,0.8,66.3,19.0,1018.0,82.0,1.0,75.0,0.0
Braga,2018-09-30 08:00:00,0.76,None,40.4,0.0,66.3,16.0,1018.0,93.0,1.0,90.0,0.0
Braga,2018-09-30 07:00:00,0.68,None,41.9,0.0,61.4,16.0,1017.0,93.0,2.0,75.0,0.0
Braga,2018-09-30 02:00:00,0.72,None,39.7,0.0,68.2,16.0,1017.0,100.0,0.0,75.0,0.0
